127.0.0.1 - - [18/Jan/2023:09:36:31 +0900] "GET / HTTP/1.1" 200 18587
0:0:0:0:0:0:0:1 - - [18/Jan/2023:09:36:33 +0900] "GET / HTTP/1.1" 200 18596
0:0:0:0:0:0:0:1 - - [18/Jan/2023:09:36:33 +0900] "GET /upload/2023/01/16/824e0675-743b-4a8b-b2d8-9d5b8f4592b4_9791191013474.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2023:09:36:33 +0900] "GET /upload/2023/01/16/5db68c9a-8223-4319-b2a9-37d9f99632b8_9788932922966.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2023:09:36:33 +0900] "GET /upload/2023/01/16/5c47d44d-c410-4eec-87dc-56be5d959a34_9788955826333.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2023:09:36:33 +0900] "GET /upload/2023/01/16/f2c629d8-f206-4c57-aa13-df6679f289dd_9788997381678.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2023:09:36:33 +0900] "GET /upload/2023/01/16/46462bfe-148a-4857-b4cf-e26a8dc46575_9791195026128.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2023:09:36:33 +0900] "GET /upload/2023/01/16/5558ef9c-00e0-405f-8131-b59900137e85_9791191825619.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2023:09:36:33 +0900] "GET /upload/2023/01/16/97c55d53-c707-4433-aa72-c9e71e00ed9a_9791187033882.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2023:09:36:33 +0900] "GET /upload/2023/01/16/71f310a6-496a-4c89-8dfd-e3c597d8a9de_9791130688886.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2023:09:36:33 +0900] "GET /upload/2023/01/16/9712c4b3-788a-40b9-b2c1-c79762aa0688_9791157687916.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2023:09:36:33 +0900] "GET /upload/2023/01/16/bcbb779b-ddab-48e6-90bc-14da012abc34_9788925563350.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2023:09:36:33 +0900] "GET /upload/2023/01/16/3219afaa-5e41-404d-a72d-53ebd7a0269c_9788997195077.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2023:09:36:33 +0900] "GET /resources/img/newYearAD.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2023:09:36:33 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [18/Jan/2023:09:36:38 +0900] "GET /book/bkDetailView?book_num=27 HTTP/1.1" 200 10329
0:0:0:0:0:0:0:1 - - [18/Jan/2023:09:36:38 +0900] "GET /resources/images/up.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [18/Jan/2023:09:36:38 +0900] "GET /resources/images/down.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [18/Jan/2023:09:36:38 +0900] "GET /resources/css/bookDetailView.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2023:09:36:43 +0900] "GET / HTTP/1.1" 200 18621
0:0:0:0:0:0:0:1 - - [18/Jan/2023:09:36:43 +0900] "GET /upload/2023/01/16/bf9d972b-d12c-4868-98f2-2e45fffe6259_9791191043297.jpg HTTP/1.1" 200 54549
0:0:0:0:0:0:0:1 - - [18/Jan/2023:09:36:46 +0900] "GET /mem/joinPage HTTP/1.1" 200 4402
0:0:0:0:0:0:0:1 - - [18/Jan/2023:09:36:46 +0900] "GET /resources/css/memberJoin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2023:09:36:46 +0900] "GET /resources/js/memberJoin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2023:09:36:49 +0900] "GET /mem/loginPage HTTP/1.1" 200 1307
0:0:0:0:0:0:0:1 - - [18/Jan/2023:09:37:09 +0900] "GET /mem/login-member HTTP/1.1" 200 1307
0:0:0:0:0:0:0:1 - - [18/Jan/2023:09:37:10 +0900] "GET /mem/login-Non-member HTTP/1.1" 200 1281
0:0:0:0:0:0:0:1 - - [18/Jan/2023:09:37:10 +0900] "GET /mem/login-Non-member HTTP/1.1" 200 1281
0:0:0:0:0:0:0:1 - - [18/Jan/2023:09:37:11 +0900] "GET /mem/login-member HTTP/1.1" 200 1307
0:0:0:0:0:0:0:1 - - [18/Jan/2023:09:37:13 +0900] "GET /mem/login-Non-member HTTP/1.1" 200 1281
0:0:0:0:0:0:0:1 - - [18/Jan/2023:09:37:14 +0900] "GET /mem/login-member HTTP/1.1" 200 1307
0:0:0:0:0:0:0:1 - - [18/Jan/2023:09:37:14 +0900] "GET /mem/login-Non-member HTTP/1.1" 200 1281
0:0:0:0:0:0:0:1 - - [18/Jan/2023:09:37:16 +0900] "GET /mem/login-member HTTP/1.1" 200 1307
0:0:0:0:0:0:0:1 - - [18/Jan/2023:09:37:16 +0900] "GET /mem/login-Non-member HTTP/1.1" 200 1281
0:0:0:0:0:0:0:1 - - [18/Jan/2023:09:37:18 +0900] "GET /mem/login-member HTTP/1.1" 200 1307
0:0:0:0:0:0:0:1 - - [18/Jan/2023:09:37:20 +0900] "GET /mem/login-Non-member HTTP/1.1" 200 1281
0:0:0:0:0:0:0:1 - - [18/Jan/2023:09:37:23 +0900] "GET /mem/login-member HTTP/1.1" 200 1307
0:0:0:0:0:0:0:1 - - [18/Jan/2023:09:37:24 +0900] "GET /mem/login-Non-member HTTP/1.1" 200 1281
0:0:0:0:0:0:0:1 - - [18/Jan/2023:09:37:26 +0900] "GET /mem/login-member HTTP/1.1" 200 1307
0:0:0:0:0:0:0:1 - - [18/Jan/2023:09:37:26 +0900] "GET /mem/login-Non-member HTTP/1.1" 200 1281
0:0:0:0:0:0:0:1 - - [18/Jan/2023:09:37:27 +0900] "GET /nonMem/orderNumsearch HTTP/1.1" 200 1548
0:0:0:0:0:0:0:1 - - [18/Jan/2023:09:37:32 +0900] "GET /nonMem/orderPWsearch HTTP/1.1" 200 1323
0:0:0:0:0:0:0:1 - - [18/Jan/2023:09:37:34 +0900] "GET /nonMem/orderNumsearch HTTP/1.1" 200 1548
0:0:0:0:0:0:0:1 - - [18/Jan/2023:09:39:49 +0900] "GET / HTTP/1.1" 200 18633
0:0:0:0:0:0:0:1 - - [18/Jan/2023:09:39:49 +0900] "GET /upload/2023/01/17/85a80f16-4c81-489f-886c-69ec520b4287_9791168803862.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2023:09:39:52 +0900] "GET /ntc/noticeOnly HTTP/1.1" 200 9294
0:0:0:0:0:0:0:1 - - [18/Jan/2023:09:39:55 +0900] "GET /faq/faqListOnly HTTP/1.1" 200 7416
